Team,Matches,Home_Away,Wins,Draws,Losses,Goals,Goals_Against,Points,xG,xGA,xPTS,Performance_Note
CSKA Moscow,9,Home,8,1,0,20,6,25,15.57,8.46,17.76,"xG: -4.43, xGA: +2.46, xPTS: -7.24"
Zenit St. Petersburg,8,Home,7,1,0,19,5,22,14.68,5.76,17.68,"xG: -4.32, xGA: +0.76, xPTS: -4.32"
FC Krasnodar,9,Home,7,0,2,19,7,21,16.30,7.37,18.37,"xG: -2.70, xGA: +0.37, xPTS: -2.63"
Spartak Moscow,9,Home,6,2,1,13,8,20,11.54,6.78,16.26,"xG: -1.46, xGA: -1.22, xPTS: -3.74"
Lokomotiv Moscow,8,Home,5,3,0,18,8,18,15.59,8.73,15.82,"xG: -2.41, xGA: +0.73, xPTS: -2.18"
Rubin Kazan,9,Home,5,2,2,9,8,17,9.38,7.54,14.11,"xG: +0.38, xGA: -0.46, xPTS: -2.89"
Baltika,8,Home,4,4,0,10,4,16,10.72,6.35,14.57,"xG: +0.72, xGA: +2.35, xPTS: -1.43"
FK Akhmat,8,Home,4,1,3,13,11,13,11.28,7.78,13.42,"xG: -1.72, xGA: -3.22, xPTS: +0.42"
Dinamo Moscow,9,Home,3,3,3,17,15,12,16.63,13.06,14.86,"xG: -0.37, xGA: -1.94, xPTS: +2.86"
Dynamo Makhachkala,8,Home,3,3,2,6,5,12,9.84,5.87,13.76,"xG: +3.84, xGA: +0.87, xPTS: +1.76"
Krylya Sovetov Samara,8,Home,3,3,2,11,12,12,7.90,12.48,9.03,"xG: -3.10, xGA: +0.48, xPTS: -2.97"
FC Rostov,8,Home,2,3,3,6,10,9,10.06,8.93,11.44,"xG: +4.06, xGA: -1.07, xPTS: +2.44"
FC Orenburg,9,Home,1,5,3,9,11,8,8.90,9.83,11.39,"xG: -0.10, xGA: -1.17, xPTS: +3.39"
Akron,9,Home,1,5,3,11,14,8,11.55,14.12,10.56,"xG: +0.55, xGA: +0.12, xPTS: +2.56"
Nizhny Novgorod,9,Home,2,2,5,8,12,8,9.44,10.94,10.98,"xG: +1.44, xGA: -1.06, xPTS: +2.98"
PFC Sochi,7,Home,1,1,5,4,15,4,3.34,11.80,4.17,"xG: -0.66, xGA: -3.20, xPTS: +0.17"
FC Krasnodar,8,Away,4,4,0,15,3,16,12.63,5.81,14.67,"xG: -2.37, xGA: +2.81, xPTS: -1.33"
Baltika,9,Away,4,4,1,12,3,16,10.36,8.59,13.58,"xG: -1.64, xGA: +5.59, xPTS: -2.42"
Lokomotiv Moscow,9,Away,4,4,1,17,13,16,12.01,14.39,10.75,"xG: -4.99, xGA: +1.39, xPTS: -5.25"
Zenit St. Petersburg,9,Away,3,5,1,13,7,14,10.16,7.60,13.16,"xG: -2.84, xGA: +0.60, xPTS: -0.84"
Akron,8,Away,4,1,3,11,10,13,8.94,12.46,8.68,"xG: -2.06, xGA: +2.46, xPTS: -4.32"
CSKA Moscow,8,Away,3,2,3,8,8,11,9.09,11.07,9.64,"xG: +1.09, xGA: +3.07, xPTS: -1.36"
FC Rostov,9,Away,2,3,4,7,10,9,8.10,8.01,11.86,"xG: +1.10, xGA: -1.99, xPTS: +2.86"
Dinamo Moscow,8,Away,2,2,4,9,10,8,10.42,8.95,11.67,"xG: +1.42, xGA: -1.05, xPTS: +3.67"
Spartak Moscow,8,Away,2,2,4,12,14,8,11.83,10.98,11.86,"xG: -0.17, xGA: -3.02, xPTS: +3.86"
Rubin Kazan,8,Away,1,3,4,7,12,6,7.32,10.83,7.74,"xG: +0.32, xGA: -1.17, xPTS: +1.74"
FK Akhmat,9,Away,1,3,5,8,14,6,9.73,14.77,8.70,"xG: +1.73, xGA: +0.77, xPTS: +2.70"
Krylya Sovetov Samara,9,Away,1,2,6,9,19,5,6.02,16.89,5.01,"xG: -2.98, xGA: -2.11, xPTS: +0.01"
FC Orenburg,8,Away,1,1,6,8,17,4,9.18,14.40,7.48,"xG: +1.18, xGA: -2.60, xPTS: +3.48"
PFC Sochi,9,Away,1,1,7,10,22,4,7.76,15.20,7.57,"xG: -2.24, xGA: -6.80, xPTS: +3.57"
Nizhny Novgorod,8,Away,1,0,7,3,16,3,6.32,13.98,5.39,"xG: +3.32, xGA: -2.02, xPTS: +2.39"
Dynamo Makhachkala,8,Away,0,2,6,2,15,2,5.93,8.79,8.18,"xG: +3.93, xGA: -6.21, xPTS: +6.18"
