Team,Matches,Home_Away,Wins,Draws,Losses,Goals,Goals_Against,Points,xG,xGA,xPTS,Performance_Note,Team_Avg_Total_Goals,Team_Goals_Conceded_PG,Home_Away_Goal_Diff,Last5_Home_Wins,Last5_Home_Draws,Last5_Home_Losses,Last5_Home_GF,Last5_Home_GA,Last5_Home_GD,Last5_Home_PTS,Last5_Away_Wins,Last5_Away_Draws,Last5_Away_Losses,Last5_Away_GF,Last5_Away_GA,Last5_Away_GD,Last5_Away_PTS
Napoli,6,Home,5,1,0,12,5,16,8.77,7.92,8.89,"xG: -3.23, xGA: +2.92, xPTS: -7.11",2.38,0.85,+1.17,4,1,0,11,5,6,13,2,0,3,3,5,-2,6
AC Milan,7,Home,5,1,1,10,6,16,13.43,7.85,13.87,"xG: +3.43, xGA: +1.85, xPTS: -2.13",2.15,0.69,+0.57,4,1,0,8,4,4,13,2,3,0,7,3,4,9
Inter,7,Home,5,0,2,17,5,15,18.41,5.63,17.09,"xG: +1.41, xGA: +0.63, xPTS: +2.09",3.15,1.00,+1.72,4,0,1,11,3,8,12,4,0,1,8,4,4,12
Como,7,Home,4,3,0,11,3,15,10.50,7.72,12.10,"xG: -0.50, xGA: +4.72, xPTS: -2.90",2.00,0.54,+1.14,3,2,0,8,2,6,11,2,3,0,8,3,5,9
Juventus,7,Home,4,3,0,12,6,15,12.70,6.17,13.60,"xG: +0.70, xGA: +0.17, xPTS: -1.40",2.23,0.92,+0.85,2,3,0,6,3,3,9,1,2,2,4,6,-2,5
Lazio,6,Home,4,1,1,12,4,13,9.07,7.28,8.41,"xG: -2.93, xGA: +3.28, xPTS: -4.59",1.92,0.77,+1.33,3,1,1,8,4,4,10,1,2,2,3,3,0,5
Bologna,5,Home,4,1,0,9,1,13,8.98,2.34,10.79,"xG: -0.02, xGA: +1.34, xPTS: -2.21",2.54,0.85,+1.00,3,1,1,9,4,5,10,3,2,0,12,5,7,11
Roma,7,Home,4,0,3,7,4,12,9.49,7.00,11.35,"xG: +2.49, xGA: +3.00, xPTS: -0.65",1.69,0.54,+0.43,3,0,2,6,3,3,9,4,0,1,7,3,4,12
Atalanta,7,Home,2,4,1,9,7,10,13.07,7.59,13.46,"xG: +4.07, xGA: +0.59, xPTS: +3.46",2.31,1.08,+0.29,1,3,1,4,5,-1,6,1,2,2,6,6,0,5
Udinese,6,Home,2,2,2,6,10,8,8.45,6.82,9.40,"xG: +2.45, xGA: -3.18, xPTS: +1.40",2.62,1.54,-0.67,2,1,2,5,9,-4,7,1,1,3,5,9,-4,4
